text,label
打开空调,control
座椅加热怎么开,qa_know
导航去最近充电站,nav
今天天气怎么样,chat_none
调节主驾座椅通风,control
座椅加热一共有几档,qa_know
故障码P0420怎么解决,qa_know
导航去市中心充电站,nav
今天适合洗车吗,chat_none
怎么连接蓝牙音乐,qa_know
调高温度,control
关闭车窗,control
打开座椅通风,control
音量调大,control
切换收音机,control
打开内循环,control
关闭灯光,control
座椅加热有几档,qa_know
故障码 P0123 怎么处理,qa_know
怎么连接蓝牙,qa_know
续航怎么看,qa_know
语音助手怎么唤醒,qa_know
导航到加油站,nav
去最近的充电站,nav
回家,nav
导航到 4S 店,nav
附近停车场,nav
今天天气,chat_none
讲个笑话,chat_none
现在几点,chat_none
推荐一首歌,chat_none
股市怎么样,chat_none
帮我打开空调,control
调低座椅高度,control
关闭车窗,control
打开主驾车窗,control
副驾座椅加热开到二档,control
把温度调到 24 度,control
风量调大一点,control
开启前挡风除雾,control
打开天窗,control
关闭后排车窗,control
打开座椅通风,control
调高空调温度,control
把风量降到一档,control
开启后窗加热除霜,control
折叠后视镜,control
展开后视镜,control
打开车内阅读灯,control
关闭顶灯,control
方向盘加热打开,control
关掉方向盘加热,control
屏幕亮度调亮些,control
降低中控屏幕亮度,control
打开外循环,control
切换内循环模式,control
播放音乐音量调大,control
媒体音量减小,control
暂停当前歌曲,control
下一首音乐,control
上一曲,control
开启吸烟模式,control
打开透气模式,control
下雨自动关窗打开,control
空气净化开启,control
关闭空气净化,control
主驾座椅按摩打开,control
调低按摩力度,control
关闭座椅按摩,control
打开雨刮器一档,control
雨刮调快速度,control
关闭雨刮,control
悬架调高一点,control
车身悬架降低,control
打开儿童锁,control
解除后门儿童锁,control
打开遮阳帘,control
关闭天窗遮阳帘,control
吹脚模式开启,control
切换吹脸吹风模式,control
自动空调打开,control
关闭自动空调,control
帮我把车窗升到底,control
主驾车窗下降一半,control
后排座椅加热关闭,control
副驾通风调到三档,control
温度调低两度,control
最大风量模式,control
关掉前挡风除雾,control
天窗翘起通风,control
完全关闭天窗,control
左右后视镜同时调节,control
夜间自动调暗后视镜,control
全车灯光关闭,control
打开氛围灯蓝色,control
氛围灯切换红色,control
关闭车内氛围灯,control
导航语音音量调小,control
增大提示音音量,control
静音全车音频,control
解除静音,control
打开蓝牙音乐,control
断开蓝牙音频,control
USB 音乐播放,control
随机播放开启,control
关闭随机播放,control
我困了开启放松模式,control
车内闷开启通风,control
外面下雨关闭全部窗户,control
空气质量差开启内循环,control
座椅记忆一号位置,control
保存当前座椅位置,control
删除座椅记忆二,control
方向盘前后调节,control
方向盘高低调整,control
自动方向盘调节关闭,control
充电小程序打开,control
退出充电应用,control
电影购票小程序打开,control
关闭影视小程序,control
智慧加油打开,control
退出加油应用,control
停车小程序启动,control
关闭停车工具,control
打开座椅腰部支撑,control
腰部支撑调低,control
关闭腰部支撑,control
空调风向同时吹脸吹脚,control
关闭后挡风除霜加热,control
雨刮器调到最快档位,control
雨刮最慢速度,control
屏幕自动亮度开启,control
关闭屏幕自动亮度,control
氛围灯亮度调高,control
降低氛围灯亮度,control
开启低速车窗半降,control
关闭低速开窗功能,control
主驾通风关闭,control
副驾加热最大档位,control
后排通风开启,control
后排加热全部关闭,control
温度设置最低,control
空调温度最高,control
最小风量,control
开启双区同步控温,control
解除双区同步,control
左区温度调低,control
右区温度升高,control
天窗完全打开,control
天窗只开缝隙,control
遮阳帘半开,control
遮阳帘全部关闭,control
后视镜自动折叠开启,control
熄火自动关镜关闭,control
阅读灯常亮模式,control
开门自动开灯打开,control
开门灯光关闭,control
方向盘加热三档,control
方向盘加热一档,control
空气净化强度调高,control
净化低档运行,control
按摩循环模式切换,control
连续按摩模式,control
间歇按摩关闭,control
雨刮自动感应开启,control
关闭自动雨刮,control
悬架舒适模式,control
运动悬架模式,control
标准悬架高度,control
全车车窗一键下降,control
一键升窗关闭,control
车窗防夹功能开启,control
关闭车窗防夹,control
左侧儿童锁开启,control
右侧后门儿童锁,control
左右儿童锁同时关闭,control
氛围灯跟随音乐律动,control
关闭音乐律动灯光,control
导航语音静音,control
恢复导航播报声音,control
收音机下一个频道,control
收藏当前电台,control
删除收藏电台,control
打开本地音频文件,control
停止播放本地音乐,control
车内香氛打开,control
香氛浓度调高,control
关闭车载香氛,control
香氛淡模式,control
香氛浓模式,control
开门自动通风,control
熄火自动通风关闭,control
座椅头枕调高,control
降低座椅头枕,control
头枕自动调节关闭,control
靠背角度调直,control
座椅靠背向后躺,control
恢复座椅标准坐姿,control
腿托打开,control
后排腿托收起,control
腿托高度上调,control
腿托下降,control
空调静音运行模式,control
空调强力制冷,control
快速制热模式,control
除湿功能开启,control
关闭空调除湿,control
玻璃水自动加注提醒,control
关闭玻璃水提示,control
胎压提示音关闭,control
恢复胎压报警声音,control
车道提示音调低,control
增大车道预警音量,control
自动泊车提示静音,control
开启泊车播报,control
360 全景影像打开,control
关闭全景摄像头,control
全景影像亮度调高,control
降低全景画面亮度,control
倒车自动开全景,control
倒车全景自动关闭,control
全景标尺显示,control
隐藏倒车标尺线,control
侧方摄像头单独打开,control
前摄像头画面放大,control
全景画面缩小,control
全景自动循环切换视角,control
停止视角自动切换,control
开启低速自动全景,control
关闭低速全景显示,control
全景夜间增强打开,control
关闭全景夜视增强,control
电池续航多少,qa_know
保养周期多久,qa_know
发动机参数,qa_know
一万公里保养项目有哪些,qa_know
多少公里更换机油,qa_know
空调滤芯多久更换一次,qa_know
刹车片磨损怎么判断,qa_know
轮胎更换标准是什么,qa_know
车辆电池保修年限,qa_know
电池衰减判定标准,qa_know
快充最大功率多少瓦,qa_know
慢充充满需要几小时,qa_know
家用充电桩安装要求,qa_know
冬天充电速度为什么变慢,qa_know
长期满电存放伤电池吗,qa_know
油箱箭头哪边是加油口,qa_know
非全尺寸备胎能跑高速吗,qa_know
备胎最高行驶速度多少,qa_know
雨刮刮不干净怎么处理,qa_know
后挡风加热能融厚积雪吗,qa_know
四轮定位什么时候需要做,qa_know
换轮胎后必须做定位吗,qa_know
车子跑偏是什么原因,qa_know
胎压多少属于正常范围,qa_know
夏天胎压需要调低吗,qa_know
BS 弹脚是故障吗,qa_know
紧急刹车踏板抖动正常吗,qa_know
实际续航为什么比标注少,qa_know
高速电耗和市区差别多大,qa_know
续航里程忽长忽短正常吗,qa_know
加装座椅套要避开气囊位置吗,qa_know
脚垫压住油门会有危险吗,qa_know
儿童锁的操作位置在哪,qa_know
涉水多深不能开车通过,qa_know
涉水行驶中途不能松油门吗,qa_know
定速巡航适合市区道路吗,qa_know
2 和 95 汽油能混加吗,qa_know
加高标号汽油动力会更强吗,qa_know
机油型号怎么看适配车型,qa_know
机油变质会出现什么症状,qa_know
发动机积碳怎么清理,qa_know
车辆越开越费油是什么问题,qa_know
安全带急拉锁死原理是什么,qa_know
刹车灯不亮年检能过吗,qa_know
车窗一键升降怎么激活,qa_know
冬天雨刮器要立起来防冻吗,qa_know
暴晒雨刮胶条容易老化吗,qa_know
开空调先开外循环降温更快吗,qa_know
碳罐满了车内会有汽油味吗,qa_know
每次加油不能加满是什么原因,qa_know
百公里加速官方数据是多少,qa_know
车辆最大扭矩数值多大,qa_know
整车自重多少公斤,qa_know
后备箱最大装载重量,qa_know
后排座椅能不能完全放平,qa_know
车身轴距多少毫米,qa_know
最小离地间隙多高,qa_know
最大爬坡角度是多少,qa_know
整车质保几年几万公里,qa_know
三电系统单独质保多久,qa_know
快充伤电池还是慢充伤电池,qa_know
整夜插着充电有保护吗,qa_know
电池低温容量衰减多少比例,qa_know
充电到多少百分比最合适,qa_know
长期不开车电量保持多少,qa_know
车辆故障灯亮代表什么,qa_know
动力故障灯亮还能继续开吗,qa_know
电池故障怎么应急处理,qa_know
刹车异响常见故障点,qa_know
转向异响是什么部件问题,qa_know
空调不制冷排查步骤,qa_know
空调出风有异味怎么清理,qa_know
车内异响怎么快速定位,qa_know
轮胎鼓包还能继续行驶吗,qa_know
轮胎裂纹需要立刻更换吗,qa_know
胎压过低会增加油耗吗,qa_know
胎压过高容易爆胎吗,qa_know
空气滤芯脏了影响动力吗,qa_know
空调滤芯堵塞会闷风吗,qa_know
冷却液多久补充一次,qa_know
冷却液变少是什么故障,qa_know
刹车油更换周期多长,qa_know
刹车油进水会降低制动效果吗,qa_know
转向助力油需要定期换吗,qa_know
自动变速箱油更换里程,qa_know
变速箱油不换会顿挫吗,qa_know
火花塞多久更换一次,qa_know
火花塞老化动力会下降吗,qa_know
电瓶亏电怎么搭电启动,qa_know
停放一周电瓶会没电吗,qa_know
启停功能频繁伤启动机吗,qa_know
自动驻车正确使用方法,qa_know
上坡辅助功能原理是什么,qa_know
陡坡缓降怎么开启关闭,qa_know
车道保持脱手多久会预警,qa_know
自适应巡航跟车距离几档可调,qa_know
自动紧急制动触发速度范围,qa_know
盲点监测检测距离多远,qa_know
自动泊车支持垂直车位吗,qa_know
自动泊车最小车位宽度要求,qa_know
全景影像夜间清晰度怎么样,qa_know
摄像头脏了影响识别吗,qa_know
车机卡顿怎么重启系统,qa_know
车机系统多久推送更新,qa_know
车载流量用完怎么续费,qa_know
蓝牙连接不稳定怎么解决,qa_know
手机投屏支持哪些软件,qa_know
无线充电最大功率多少瓦,qa_know
无线充电高温会断电吗,qa_know
车载香氛耗材更换周期,qa_know
香氛味道有几种可选,qa_know
座椅通风会耗电很高吗,qa_know
座椅加热一小时耗电多少,qa_know
方向盘加热耗电情况,qa_know
空气净化滤芯多久更换,qa_know
净化器能去除甲醛吗,qa_know
天窗漏水是什么原因,qa_know
天窗排水孔堵塞怎么清理,qa_know
车窗密封胶条老化漏水,qa_know
车门异响润滑哪个位置,qa_know
后视镜加热多久除完雾气,qa_know
后视镜防眩目自动切换条件,qa_know
氛围灯耗电会亏电吗,qa_know
熄火后氛围灯会自动关闭吗,qa_know
雨刮自动感应灵敏度可调吗,qa_know
雨量传感器脏了会失灵吗,qa_know
悬架高低调节范围多少厘米,qa_know
运动模式电耗会升高多少,qa_know
舒适模式动力会变弱吗,qa_know
标准模式均衡动力和省电吗,qa_know
儿童座椅接口是什么标准,qa_know
儿童座椅安装步骤是什么,qa_know
安全气囊弹出更换成本,qa_know
气囊故障灯亮禁止载人吗,qa_know
安全带卡扣损坏能单独换吗,qa_know
安全带收缩无力怎么修复,qa_know
后备箱应急拉手在哪,qa_know
车内应急三角警示牌位置,qa_know
随车工具包含哪些配件,qa_know
千斤顶支撑底盘哪个位置,qa_know
充电枪拔不出来怎么解锁,qa_know
充电中途断电会损伤电池吗,qa_know
充电桩故障怎么终止充电,qa_know
预约充电设置方法,qa_know
低谷电价自动充电怎么开,qa_know
电池均衡多久自动执行一次,qa_know
均衡充电需要额外付费吗,qa_know
冬季预热电池功能怎么开启,qa_know
电池预热会消耗多少电量,qa_know
高温自动降温保护机制,qa_know
电池温度过高限制动力吗,qa_know
底盘电池磕碰怎么检测,qa_know
电池护板材质是什么,qa_know
底盘装甲需要加装吗,qa_know
底盘装甲会影响散热吗,qa_know
高速风噪大怎么改善,qa_know
轮胎静音款和普通款区别,qa_know
静音轮胎磨损更快吗,qa_know
轮毂刮花可以修复吗,qa_know
铝合金轮毂耐腐蚀性如何,qa_know
刹车盘多久打磨一次,qa_know
刹车盘起槽必须更换吗,qa_know
刹车片金属碎屑正常吗,qa_know
冷车刹车有尖叫声是什么问题,qa_know
热车刹车发软怎么排查,qa_know
转向沉重是什么部件损坏,qa_know
转向机漏油维修费用,qa_know
电子转向助力会失效吗,qa_know
车机语音唤醒词可以修改吗,qa_know
语音识别方言支持哪些,qa_know
连续对话最多几条指令,qa_know
语音指令误识别怎么优化,qa_know
车载导航地图多久更新,qa_know
离线地图占多少存储空间,qa_know
导航路况数据实时更新吗,qa_know
车道级导航支持高速吗,qa_know
AR 实景导航耗电高吗,qa_know
倒车雷达探测距离多远,qa_know
雷达有障碍物不报警故障,qa_know
雷达探头脏了会失效吗,qa_know
开门预警检测后方多远距离,qa_know
开门预警夜间识别准确吗,qa_know
疲劳监测怎么判断驾驶员犯困,qa_know
疲劳预警灵敏度可调吗,qa_know
灯光自动远近光切换逻辑,qa_know
远光灯会自动避开对向车辆吗,qa_know
日行灯白天常亮耗电吗,qa_know
大灯灯罩发黄怎么抛光修复,qa_know
LED 大灯更换成本多少,qa_know
车内甲醛多久能散干净,qa_know
新车暴晒除甲醛有效吗,qa_know
车内皮革保养用什么产品,qa_know
皮质座椅开裂修复方法,qa_know
织物座椅污渍怎么清洗,qa_know
地毯发霉怎么除味,qa_know
车载冰箱功率多大,qa_know
冰箱插车载接口会亏电吗,qa_know
外接设备最大输出功率,qa_know
12V 接口熄火后断电吗,qa_know
外接大功率电器伤电路吗,qa_know
导航去火车站,nav
规划到医院路线,nav
搜索附近充电桩,nav
带我去市中心商场,nav
导航回家,nav
去公司地址,nav
找最近的加油站,nav
附近停车场推荐,nav
导航到高速入口,nav
去机场 T2 航站楼,nav
搜索周边饭店,nav
沿途找卫生间,nav
避开拥堵重新规划路线,nav
走高速优先导航,nav
避开收费路段,nav
优先不走高速,nav
放大当前地图,nav
缩小地图视图,nav
查看全程路线总里程,nav
还有多久到达目的地,nav
下一个路口怎么走,nav
预计几点钟抵达,nav
静音导航播报,nav
恢复导航语音提示,nav
退出当前导航,nav
更换目的地为学校,nav
添加途经点服务区,nav
删除途经地点,nav
导航到连锁酒店,nav
找附近洗车店,nav
搜索汽修门店,nav
导航到车管所,nav
去政务服务大厅,nav
附近公园推荐路线,nav
导航到电影院,nav
找生鲜超市位置,nav
沿途添加充电站,nav
导航到小区北门,nav
目的地切换小区南门,nav
搜索周边药店,nav
找 24 小时便利店,nav
导航到体育场馆,nav
去高铁站西站,nav
规划去客运汽车站,nav
附近景区路线,nav
导航到温泉度假村,nav
找农家乐地址,nav
导航到宠物医院,nav
搜索银行网点,nav
找 ATM 取款机位置,nav
导航到咖啡馆,nav
沿途找快充桩,nav
优先推荐慢充站点,nav
导航到大型充电站,nav
找空闲充电桩位置,nav
避开施工路段,nav
优先快速路行驶,nav
最短距离路线,nav
最短时间方案,nav
少红绿灯路线,nav
导航到乡村小路,nav
搜索周边露营地,nav
导航到钓鱼场地,nav
找货运停车场,nav
导航到物流园区,nav
附近加油站油价最低,nav
导航到 95 号油站点,nav
找柴油加油站,nav
导航到高速服务区餐厅,nav
沿途找母婴室,nav
导航到儿童医院,nav
找三甲医院急诊,nav
导航到牙科诊所,nav
搜索眼镜门店,nav
导航到花店,nav
找文具批发市场,nav
导航到家具城,nav
沿途找货车加水点,nav
导航到汽车 4S 店,nav
找新能源维修店,nav
导航到轮胎专卖店,nav
附近贴膜门店路线,nav
导航到驾校训练场,nav
找车辆检测站,nav
导航到二手车市场,nav
搜索报废车回收点,nav
导航到快递集散中心,nav
找邮政营业厅,nav
导航到火车站停车场,nav
机场地下车库路线,nav
商场地下一层停车区,nav
找路边免费停车位,nav
导航到室内停车场,nav
避开限高路段,nav
避开货车禁行道路,nav
优先无货车路线,nav
导航到步行街入口,nav
搜索古城停车场,nav
导航到山顶观景台,nav
找湖边停车位置,nav
导航到跨海大桥入口,nav
避开隧道拥堵,nav
导航到轮渡码头,nav
找高速休息站充电桩,nav
导航到乡镇卫生院,nav
搜索村镇小卖部,nav
导航到采摘果园,nav
找葡萄酒庄园路线,nav
导航到滑雪场停车场,nav
附近温泉停车区域,nav
导航到会展中心,nav
找大型体育馆停车场,nav
导航到图书馆,nav
搜索博物馆路线,nav
导航到美术馆,nav
找科技馆停车点,nav
导航到游乐园正门,nav
动物园附近停车场,nav
导航到海洋馆,nav
找植物园入口路线,nav
导航到养老院,nav
搜索社区卫生院,nav
导航到消防大队,nav
找派出所地址,nav
导航到交警支队,nav
搜索法院停车场,nav
导航到公证处,nav
找会计师事务所,nav
导航到写字楼地下车库,nav
创业园区停车路线,nav
导航到工业园区南门,nav
找工厂货运大门,nav
导航到建材市场,nav
五金批发市场路线,nav
导航到农产品批发市场,nav
找海鲜市场停车区,nav
导航到水果批发市场,nav
沿途找充电桩空闲状态,nav
导航到家用充电桩小区,nav
找公共快充站夜间电价低,nav
导航到国道休息点,nav
避开城市内环拥堵,nav
导航到绕城高速入口,nav
找城际快速通道,nav
导航到跨省高速主线,nav
搜索周边避堵备选路,nav
导航到老城区小巷,nav
新城区主干道路线,nav
导航到滨江大道停车场,nav
江边免费停车位置,nav
导航到网红打卡点,nav
找山野步道停车处,nav
导航到寺庙停车场,nav
道观附近停车路线,nav
导航到墓园入口,nav
找殡仪馆停车场,nav
导航到宠物收容所,nav
兽医 24 小时急诊路线,nav
导航到马术俱乐部,nav
高尔夫球场停车区,nav
导航到赛车场地,nav
卡丁车俱乐部路线,nav
导航到射击场馆,nav
找桌游馆地址,nav
导航到密室逃脱门店,nav
剧本杀停车场路线,nav
导航到 KTV 地下车库,nav
酒吧周边停车位置,nav
导航到烧烤美食街,nav
火锅城附近停车场,nav
导航到自助餐厅,nav
找本地特色菜馆路线,nav
导航到茶馆停车位,nav
奶茶店附近停车点,nav
导航到面包烘焙店,nav
生鲜大卖场停车场,nav
导航到花卉市场,nav
苗木种植园路线,nav
导航到农机市场,nav
找农资门店地址,nav
导航到货运物流站,nav
快递中转场停车区,nav
导航到印刷产业园,nav
广告制作门店路线,nav
导航到门窗建材店,nav
瓷砖批发市场停车点,nav
导航到窗帘布艺城,nav
家具卖场地下停车库,nav
导航到家电大卖场,nav
数码电脑城停车场,nav
导航到手机维修门店,nav
相机器材市场路线,nav
导航到运动用品商城,nav
户外装备门店停车区,nav
导航到渔具批发市场,nav
自行车专卖店路线,nav
导航到电动车卖场,nav
找摩托车维修店地址,nav
导航到汽配城停车场,nav
新能源配件市场路线,nav
今天天气怎么样,chat_none
给我讲个笑话,chat_none
吃什么饭,chat_none
现在几点了,chat_none
今天星期几,chat_none
明天会下雨吗,chat_none
中午吃火锅还是米饭,chat_none
推荐好看的电影,chat_none
最近热播电视剧是什么,chat_none
好听的歌曲推荐几首,chat_none
讲一段小故事,chat_none
什么星座运势好,chat_none
塔罗帮我算一下,chat_none
怎么煮奶茶好喝,chat_none
家常菜简单做法,chat_none
减肥餐怎么搭配,chat_none
早餐吃什么健康,chat_none
熬夜吃什么不伤身,chat_none
周末去哪里玩合适,chat_none
国内小众旅游地点,chat_none
国外便宜旅游国家,chat_none
